,PARTIDO,,,,PARTIDO,,,,PARTIDO,,PARTIDO,,PARTIDO,,PARTIDO,,,
,ALIANZA,,,,NACIONALISTA,,PARTIDO,,REVOLUCIONARIO,,REVOLUCIONARIO,,UNION,,VANGUARDIA,,,
,SOCIAL,,PARTIDO,,REVOCIONARIO,,REVOLUCIONARIO,,DOMINICANO,,SOCIAL,,CIVICA,,REVOLUCIONARIA,,TOTALES,
,DEMOCRATA,,NACIONAL,,DEMOCRATA,,DOMINICANO,,AUTENTICO,,CRISTIANO,,NACIONAL,,DOMINICANA,,CANDIDATURAS,
,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS
PROVINCIA LA ROMANA,50,53,0,62,28,32,"8,328","7,884",0,0,420,467,"7,648","7,571",0,315,"16,474","16,384"
GUAYMATE,6,6,,15,2,2,"1,346","1,274",,,38,38,914,912,,54,"2,306","2,301"
LA ROMANA,44,47,,47,26,30,"6,902","6,610",,,382,429,"6,734","6,659",,261,"14,088","14,083"
PROVINCIA DE SAN PEDRO DE MACORIS,110,76,180,254,168,165,"24,566","24,147",0,0,292,389,"4,931","4,523",730,833,"30,977","30,387"
LOS LLANOS,8,5,61,61,15,14,"7,056","7,055",,,65,118,844,836,144,143,"8,193","8,232"
RAMON SANTANA,4,4,,21,7,7,"2,624","2,527",,,18,23,178,170,,72,"2,831","2,824"
SAN PEDRO DE MACORIS,98,67,119,172,146,144,"14,886","14,565",,,209,248,"3,909","3,517",586,618,"19,953","19,331"
DEPARTAMENTO DE SANTIAGO,"7,936","8,237",322,920,"2,284","2,244","105,822","98,939",0,0,"11,016","11,283","102,527","102,529","1,577","7,234","231,484","231,086"
PROVINCIA DAJABON,941,950,30,17,84,36,"8,512","7,967",0,0,221,223,"3,094","3,086",230,695,"13,112","12,974"
DAJABON,315,317,13,,30,,"2,693","2,660",,,130,132,"1,920","1,913",160,206,"5,261","5,228"
LOMA DE CABRERA,375,376,,,18,,"4,501","4,007",,,77,77,905,904,,408,"5,876","5,772"
RSTAURACION,251,257,17,17,36,36,"1,318","1,300",,,14,14,269,269,70,81,"1,975","1,974"
PROVINCIA DE MONTECRISTI,"3,708","3,833",39,111,150,155,"11,215","9,830",0,0,431,493,"5,863","6,048",103,"1,087","21,509","21,557"
GUAYUBIN,"1,135","1,135",,32,46,53,"4,154","3,754",,,83,79,"2,297","2,257",,368,"7,715","7,678"
